DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2015-10,2299729,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2015-11,1859679,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2015-12,1874792,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-01,1788864,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-02,1797746,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-03,2166218,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-04,2112625,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-05,2388180,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-06,2464496,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-07,2795945,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-08,2741943,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-09,2683321,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-10,2415795,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-11,1962111,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2016-12,2065019,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2017-01,1910719,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2017-02,1887801,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2017-03,2216381,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2017-04,2436218,,
ESTAT:AVIA_PAOC(1.0),25/02/26 23:00:00,Monthly,Passenger,Passengers on board,Total transport,Total,Austria,2017-05,2510380,,
