DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,2025-Q1,225091.6,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,2025-Q2,225844.2,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million euro",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,2025-Q3,229365.4,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1995-Q1,81620.6,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1995-Q2,85579.3,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1995-Q3,90386.1,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1995-Q4,89055.7,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1996-Q1,100879.2,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1996-Q2,105996.9,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1996-Q3,110963.4,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1996-Q4,115295.4,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1997-Q1,122686.2,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1997-Q2,128529.2,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1997-Q3,133338.6,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1997-Q4,137990.1,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1998-Q1,145218.1,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1998-Q2,149264.2,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1998-Q3,154008.6,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1998-Q4,157445.6,,
ESTAT:NAMQ_10_GDP(1.0),20/02/26 23:00:00,Quarterly,"Current prices, million units of national currency",Seasonally and calendar adjusted data,Gross domestic product at market prices,Poland,1999-Q1,158523.9,,
