DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Switzerland,2023,183.7,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Switzerland,2024,184.3,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Cyprus,1995,84.7,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Cyprus,1996,84.4,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Cyprus,1997,87.2,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Cyprus,1998,88.7,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Cyprus,1999,89.6,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Cyprus,2000,90.6,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Cyprus,2001,91.3,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Cyprus,2002,92.2,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Cyprus,2003,92.4,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Cyprus,2004,93.4,,
ESTAT:PRC_PPP_IND(1.0),10/07/25 11:00:00,Annual,Price level indices (EU27_2020=100),Actual individual consumption,Cyprus,2005,93.3,,
