DATAFLOW,LAST UPDATE,freq,accomunit,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023,38,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,9.62,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,1990,17.8,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,1991,4.5,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,1992,-3.6,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,1993,4,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,1994,0.5,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,1995,5.5,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2001,1,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2002,149.8,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2003,5.1,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2004,8.4,,
ESTAT:TOUR_CAP_NAT(1.0),19/02/26 23:00:00,Annual,Establishments,Percentage change on previous period,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Spain,2005,9.48,,
